[Tue Apr 11 14:12:01.942007 2023] [proxy_fcgi:error] [pid 1928:tid 540] [client 127.0.0.1:54046] AH01067: Failed to read FastCGI header, referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942007 2023] [proxy_fcgi:error] [pid 1928:tid 1204] [client 127.0.0.1:54049] AH01067: Failed to read FastCGI header, referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942007 2023] [proxy_fcgi:error] [pid 1928:tid 1192] [client 127.0.0.1:54055] AH01067: Failed to read FastCGI header, referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942007 2023] [proxy_fcgi:error] [pid 1928:tid 1224] [client 127.0.0.1:54052] AH01067: Failed to read FastCGI header, referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942007 2023] [proxy_fcgi:error] [pid 1928:tid 1212] [client 127.0.0.1:54064] AH01067: Failed to read FastCGI header, referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942007 2023] [proxy_fcgi:error] [pid 1928:tid 1220] [client 127.0.0.1:54067] AH01067: Failed to read FastCGI header, referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942985 2023] [proxy_fcgi:error] [pid 1928:tid 1192] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54055] AH01075: Error dispatching request to :10023: , referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942985 2023] [proxy_fcgi:error] [pid 1928:tid 1204] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54049] AH01075: Error dispatching request to :10023: , referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942985 2023] [proxy_fcgi:error] [pid 1928:tid 1220] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54067] AH01075: Error dispatching request to :10023: , referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942985 2023] [proxy_fcgi:error] [pid 1928:tid 1224] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54052] AH01075: Error dispatching request to :10023: , referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942985 2023] [proxy_fcgi:error] [pid 1928:tid 1212] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54064] AH01075: Error dispatching request to :10023: , referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
[Tue Apr 11 14:12:01.942985 2023] [proxy_fcgi:error] [pid 1928:tid 540] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:54046] AH01075: Error dispatching request to :10023: , referer: http://horizon-properties.local/wp-admin/post-new.php?post_type=page
